DogId,UserId,Name,BirthDate,Primary_Breed,Secondary_Breed,PictureLocation,CurrentLevel,Gender,Neutered,LifeTimeStats_TimePlayed,LifeTimeStats_TreatsWon,LifeTimeStats_SuccessRate,LifeTimeStats_TotalPrompts,LifeTimeStats_TotalMissed,LifeTimeStats_TotalNegPrompts,LifeTimeStats_TotalHitsNegSound,ModifiedCreatedTime
d4116f72-ff3a-4573-9bae-feb49dad0241,67ecbcd7-f29c-494e-ae22-840a4a5a7ca4,Waldo,10/11/2020 5:00:00 PM,Goldendoodle,,,1,BOY,TRUE,1717211.151,33,97.36842105,38,1,0,0,8/21/2021 11:11:21 AM
d5687192-86c7-424e-9bee-e73bc2285cbd,a4ef7860-af38-4e0f-87a0-326b0dcc7a15,last,4/1/2020 2:15:43 PM,American English Coonhound,,,0,Female,FALSE,0,0,0,0,0,0,0,4/1/2020 11:15:50 AM
5e1eb233-994a-4e6e-8ebd-3936dbd0a756,2d5a6cc2-1bb3-4600-b5bd-d8db3b3180f7,Raj’ee,4/21/2016 5:00:00 PM,Standard Schnauzer,,,1,BOY,TRUE,1045096.618,20,93.10344828,29,2,0,0,6/28/2021 9:15:22 PM
089f05b1-ae1e-4475-a22a-a5ec82f8cdb6,bb45c44a-9ef7-4b9c-b126-449f00462228,Dylan,8/1/2018 7:33:19 AM,Border Terrier,,,1,Female,FALSE,223108.5775,11,100,18,0,0,0,9/28/2021 11:38:52 AM
f671459c-96d8-4aae-8070-0d5920660b10,d2084af7-aae7-49cf-a8fe-64aa9baa8077,Tula,6/8/2017 5:00:00 PM,Unknown,,,1,GIRL,TRUE,13583707.35,169,90.20979021,143,14,0,0,3/12/2022 5:20:06 AM
b235a974-c053-4adc-bb8b-bc183291a6ae,a4e744df-88a2-4d50-be80-57306ddd1220,Freya,8/3/2020 8:05:19 AM,Unknown,,,1,Female,TRUE,26625068.68,940,95.59888579,1795,79,0,0,12/20/2021 10:40:39 AM
1f0d1869-07d8-4325-bd30-7ab0b35b514b,44fd5d13-d2b5-43a0-992e-f3d987d52f30,Remington,2/21/2021 4:00:00 PM,Belgian Malinois,,,1,BOY,TRUE,10521306.35,221,79.35871743,499,103,0,0,3/23/2022 6:50:56 PM
01121a5d-17cf-4851-96ad-eb0a6f4a84f2,c862feb4-51d7-4b1e-8b70-a6646ede3c78,Annie,2/4/2010 4:00:00 PM,Soft Coated Wheaten Terrier,Poodle,,3,GIRL,TRUE,4256396.57,147,64.49704142,169,60,0,0,8/5/2020 4:36:01 PM
0b27c7ec-c9da-4349-bbd5-b3c3d7cdc226,4d2324eb-fee2-48e9-bb68-60924c8b9182,Haha,3/30/2020 5:00:00 PM,Alaskan Malamute,,,0,GIRL,FALSE,0,0,0,0,0,0,0,3/31/2020 1:07:17 PM
cab53413-2639-4283-94bc-1de1f458748e,10e2bb00-26a7-4dc7-ad9c-193b6cc54a72,Leeloo-Dallas,5/24/2016 5:00:00 PM,Japanese Chin,Papillon,,1,GIRL,TRUE,918389.9042,19,31.88405797,69,47,0,0,2/22/2021 7:19:36 AM
be27720b-f82f-4b2e-9fa4-98038174f76d,7a4132c0-9f78-4eb6-9216-79c3a53f3e88,марк,3/21/2020 5:51:23 AM,Affenpinscher,,,0,Male,FALSE,0,0,0,0,0,0,0,3/29/2020 2:51:27 AM
abc455ce-bc13-4662-824b-33c599deb140,6cb74a26-2259-4e93-b9ee-f2a722b379cf,Edgar,10/25/2018 11:59:13 AM,Pug,,,1,Male,TRUE,3172178.159,151,97.95918367,245,5,0,0,3/20/2022 2:21:43 PM
c5f3aa48-257c-4e07-b200-75d99dddf060,85350022-1e8b-4812-9567-2c45eb0b495b,Jäger,4/24/2020 5:00:00 PM,Belgian Malinois,,,1,BOY,TRUE,0,0,0,0,0,0,0,3/3/2022 1:33:21 PM
ceacc561-d863-418e-a606-7744b30670ac,4e2126e5-1c09-4e27-93d7-0ff989f5f27f,Итого,3/13/2020 5:00:00 PM,Akita,,,1,GIRL,TRUE,0,0,0,0,0,0,0,4/14/2021 8:43:16 AM
3c28a981-b8f9-473b-b06f-9ee96fc538ac,4b85943b-aa8a-4e96-85fe-fd2376ebbcd4,Buoy,3/15/2020 5:00:00 PM,Golden Retriever,,,1,BOY,FALSE,67738200.43,1736,88.79056047,1017,114,0,0,8/25/2021 11:05:57 AM
d74c7f29-7c56-44c5-ba94-2119ab78d9f5,9cfe4fa2-5561-4486-89a4-43f435f4e767,Kahlua,6/10/2021 12:53:19 PM,Alaskan Klee Kai,American Bulldog,,1,Female,TRUE,0,0,0,0,0,0,0,6/10/2021 4:53:27 PM
44fd3ec2-2838-4de3-8d79-b5bfcd524a49,ac5ded50-ba29-4346-84c5-803012642566,Riley,5/14/2015 5:00:00 PM,Labradoodle,,,1,GIRL,TRUE,0,0,0,0,0,0,0,1/6/2021 9:27:02 AM
0a59d73b-55c7-4111-85f7-c4a0598e6c41,4e6686f0-b2e0-4ec5-adb1-f9dc3efa5a9a,Edawggie,6/29/2020 5:00:00 PM,Border Collie,Jack Russell Terrier,,2,BOY,TRUE,5259869.018,165,64.68085106,235,83,0,0,10/31/2021 9:51:40 AM
732e5740-875b-4680-a3cc-b7ca21561070,9945c18f-4f05-49d3-81b0-0d26f98cfdf6,Tyson,2/3/2021 4:00:00 PM,American Pit Bull Terrier,Labrador Retriever,,1,BOY,TRUE,74655497.42,185,100,16,0,0,0,2/3/2022 8:11:34 PM
3eabcb39-543a-4df7-aa8e-be7d07423880,923a0c7a-a383-4683-b0f2-cf4cc6f39107,Sophie,10/29/2020 2:53:38 AM,Labrador Retriever,,,1,Female,FALSE,13204481.5,390,85.13403737,1231,183,0,0,1/20/2022 5:02:19 AM
16edc8e3-57a8-4b08-a08b-1b625a787acb,76e8054c-f609-41a6-b93c-7da58027690a,Picsou,10/13/2020 5:18:24 AM,Havanese,,,1,Male,TRUE,6256587.23,99,94.47852761,489,27,0,0,11/29/2021 4:58:19 PM
bda1913c-e362-4345-b3f4-08e724c578f9,ed116b61-04b6-461e-8765-87f7f6a1e32c,Oban,8/16/2020 5:00:00 PM,Golden Retriever,,,1,BOY,TRUE,0,0,0,0,0,0,0,7/5/2021 7:44:43 AM
da1c4936-772b-48b1-b45a-97abff8349d3,9d8ad64e-47e4-40f9-9bf5-0de39d2bc322,Bowie,7/7/2021 5:00:00 PM,Australian Shepherd,Australian Shepherd,,1,BOY,FALSE,3663975.564,94,91.66666667,60,5,0,0,10/28/2021 11:41:21 AM
cd192908-e1c2-434c-8ae4-133787d01308,6b150be4-0fa8-4149-8583-b4a1da598862,Murphy,5/7/2020 5:00:00 PM,Cockapoo,,,1,GIRL,TRUE,341485.382,12,100,15,0,0,0,6/4/2021 9:29:54 PM
f387d475-00a2-4488-bf31-a736d0ed7593,52e314fe-c639-4076-a384-cc818ab6a990,Sadie,6/16/2015 5:00:00 PM,Maltipoo,,,1,GIRL,TRUE,5640363.262,24,65.03067485,163,57,0,0,3/27/2021 4:29:59 PM
727ab522-7357-4f41-9840-25b7c51c42ae,440fd845-7ad3-42d4-9065-3a78f9a2d0a8,Frankie,2/21/2021 4:00:00 PM,Golden Retriever,Unknown,,1,GIRL,TRUE,0,0,0,0,0,0,0,3/20/2022 7:19:34 AM
ada1f465-94a9-4ebb-a3df-04e7c1032b3b,a0cab8f3-edeb-467e-9007-ed46dcba79a0,Ella And Otto,6/17/2020 5:00:00 PM,Labrador Retriever,,,1,GIRL,TRUE,10387722.75,438,96.3878327,526,19,0,0,10/18/2021 1:52:53 PM
8bc35437-1fda-4b21-ba75-043c5007b2e4,c82545d3-f653-4445-8396-1eef5ccc075e,Fawkes,9/13/2020 4:20:55 AM,Border Collie,,,4,Male,TRUE,101731826.9,2098,48.54734307,6643,3418,0,0,3/18/2022 5:25:22 AM
0aa3ef11-ad71-4059-b6df-9c8102a1587f,a68faf78-7113-46c5-858d-5f741b452fcf,Pupper,6/8/2020 5:00:00 PM,Chinese Shar-Pei,,,1,BOY,TRUE,0,0,0,0,0,0,0,6/9/2021 2:10:02 PM
e8094074-ab96-4805-ae7f-fd966b7e9690,a4ef7860-af38-4e0f-87a0-326b0dcc7a15,1w12,4/8/2020 3:10:42 PM,Airedale Terrier,,,1,Female,FALSE,12541.039,0,0,0,0,0,0,4/30/2020 11:59:20 AM
fe3549f0-ec8b-4dec-8f62-dab27e547688,1130abb8-d554-45cb-9eb5-b7c2d2674e0f,Apple,11/27/2020 4:00:00 PM,Labradoodle,Unknown,,1,GIRL,TRUE,3289847.735,53,95.2688172,465,22,0,0,3/7/2021 2:13:57 PM
594c2e92-a500-48ba-a2c9-c44e4419a0ec,3e3d964e-407c-4232-bbf7-8889181e5262,Cheesecake,6/23/2014 5:00:00 PM,Cocker Spaniel,Poodle,,1,GIRL,FALSE,0,0,0,0,0,0,0,3/8/2022 5:54:57 PM
faeab235-985b-4dfd-8398-d5978e608444,7d56db9d-4012-499e-a588-cde37552df30,Brinkley,2/18/2021 4:00:00 PM,Goldendoodle,,,2,BOY,TRUE,21201250.49,408,15.81151832,955,804,0,0,2/18/2022 5:52:06 AM
b13d4358-b3c0-477d-b813-4f4471266f33,0fe3f77b-e232-4bce-bedf-71b0fb8154bd,Dot,6/17/2014 5:00:00 PM,Australian Shepherd,,,1,GIRL,TRUE,3678430.06,20,90.51724138,116,11,0,0,12/4/2021 4:38:53 PM
c591fed6-5bf9-4086-9d4a-254cae405cd6,55b79d1f-db94-4bf6-aa3b-7ba175eda710,Boomer,11/10/2020 4:00:00 PM,Australian Cattle Dog,Labrador Retriever,,1,BOY,TRUE,8845927.236,424,99.44134078,537,3,0,0,3/3/2022 1:21:44 PM
7a9d28a1-71fa-4ef4-9193-3e594af858d0,12300ac3-0708-4475-9e62-3db957d74fa4,Echo,11/28/2020 4:00:00 PM,German Shepherd Dog,,,1,BOY,TRUE,18615443.77,501,95.55555556,45,2,0,0,11/7/2021 9:35:59 AM
